expression,reading,meaning,tags
騒ぎ,さわぎ,"uproar, disturbance",JLPT JLPT_2 JLPT_3
婦人,ふじん,woman (same as 女性 (じょせい)、女の人 (おんなのひと)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
ジーンズ,ジーンズ,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki
しかも,しかも,"moreover, furthermore, besides, plus",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2
したがって,したがって,"therefore, consequently",JLPT JLPT_2 JLPT_3
じっと,じっと,"patiently, quietly",JLPT JLPT_2 JLPT_3
しまった (かん),しまった (かん),Damn it!,JLPT JLPT_2 JLPT_3
しばしば,しばしば,"often, again and again, frequently",JLPT JLPT_2 JLPT_3
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
ジュース,ジュース,"juice, soft drink; deuce",JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki
スイッチ,スイッチ,switch,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki
スープ,スープ,(Western) soup,JLPT JLPT_2 JLPT_3
スキー,スキー,ski,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki
すくなくとも,すくなくとも,at least,JLPT JLPT_2 JLPT_3
スケート,スケート,"skate(s), skating",JLPT JLPT_2 JLPT_3
スケジュール,スケジュール,schedule,JLPT JLPT_2 JLPT_3
キャプテン,キャプテン,captain,JLPT JLPT_2 JLPT_3
キャンプ,キャンプ,camp,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
キャプテン,キャプテン,captain,JLPT JLPT_2 JLPT_3
キャンプ,キャンプ,camp,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
クラシック,クラシック,classic(s),JLPT JLPT_2 JLPT_3
クリスマス,クリスマス,Christmas,JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki
トン,トン,ton (1000 lbs.),JLPT JLPT_2 JLPT_3
とんでもない,とんでもない,"outrageous, No way!",JLPT JLPT_2 JLPT_3
どんなに,どんなに,"how, how much",JLPT JLPT_2 JLPT_3
トンネル,トンネル,tunnel,JLPT JLPT_2 JLPT_3
グラス,グラス,glass; grass,JLPT JLPT_2 JLPT_3
トップ,トップ,top,JLPT JLPT_2 JLPT_3
トレーニング,トレーニング,training,JLPT JLPT_2 JLPT_3
